Name,GB%,GB SQ%,FB%,FB SQ%
Michael Conforto,0.3745819397993311,0.5535714285714286,0.6254180602006689,0.6577540106951871
Enrique Hernandez,0.3609467455621302,0.6885245901639344,0.6390532544378699,0.7037037037037037
Jon Berti,0.5194805194805194,0.625,0.4805194805194805,0.6216216216216216
Miguel Amaya,0.27631578947368424,0.5238095238095238,0.7236842105263158,0.6
Pete Crow-Armstrong,0.29490022172949004,0.5789473684210527,0.70509977827051,0.6886792452830188
Will Smith,0.2697841726618705,0.7066666666666667,0.7302158273381295,0.7684729064039408
Teoscar Hernandez,0.4083769633507853,0.6217948717948718,0.5916230366492147,0.6858407079646017
Tommy Edman,0.40484429065743943,0.6752136752136753,0.5951557093425606,0.6569767441860465
Michael Busch,0.2979274611398964,0.6695652173913044,0.7020725388601037,0.8745387453874539
Shohei Ohtani,0.352112676056338,0.5733333333333334,0.647887323943662,0.8007246376811594
Kyle Tucker,0.3173076923076923,0.5909090909090909,0.6826923076923077,0.7323943661971831
Miguel Rojas,0.4122448979591837,0.7425742574257426,0.5877551020408164,0.7361111111111112
Seiya Suzuki,0.27951807228915665,0.6379310344827587,0.7204819277108434,0.6755852842809364
Ian Happ,0.3380614657210402,0.5804195804195804,0.6619385342789598,0.7214285714285714
Dansby Swanson,0.3583138173302108,0.5882352941176471,0.6416861826697893,0.7956204379562044
Matt Shaw,0.37209302325581395,0.5625,0.627906976744186,0.6402116402116402
Justin Turner,0.3235294117647059,0.7954545454545454,0.6764705882352942,0.7934782608695652
Max Muncy,0.26382978723404255,0.5483870967741935,0.7361702127659574,0.8092485549132948
Carson Kelly,0.310580204778157,0.6813186813186813,0.689419795221843,0.7029702970297029
Andy Pages,0.3022222222222222,0.5735294117647058,0.6977777777777778,0.643312101910828
James Wood,0.46153846153846156,0.6379310344827587,0.5384615384615384,0.7438423645320197
Jorge Polanco,0.3526448362720403,0.6642857142857143,0.6473551637279596,0.7470817120622568
Colt Keith,0.3227848101265823,0.5882352941176471,0.6772151898734177,0.7523364485981309
Bryan Reynolds,0.4326923076923077,0.6,0.5673076923076923,0.8050847457627118
Luke Raley,0.4878048780487805,0.55,0.5121951219512195,0.7142857142857143
Bryson Stott,0.35990338164251207,0.6711409395973155,0.6400966183574879,0.6754716981132075
Wyatt Langford,0.34402332361516036,0.6610169491525424,0.6559766763848397,0.7466666666666667
Nolan Arenado,0.31728045325779036,0.6428571428571429,0.6827195467422096,0.5850622406639004
Tyrone Taylor,0.2875,0.7971014492753623,0.7125,0.5497076023391813
Austin Slater,0.43157894736842106,0.6341463414634146,0.5684210526315789,0.8333333333333334
Tyler O'Neill,0.2631578947368421,0.4,0.7368421052631579,0.673469387755102
Corey Seager,0.4,0.5847457627118644,0.6,0.807909604519774
Andrew Vaughn,0.3633633633633634,0.7024793388429752,0.6366366366366366,0.7688679245283019
Christian Walker,0.33980582524271846,0.6285714285714286,0.6601941747572816,0.6470588235294118
Brendan Donovan,0.38345864661654133,0.6797385620915033,0.6165413533834586,0.7845528455284553
LaMonte Wade Jr.,0.2727272727272727,0.7380952380952381,0.7272727272727273,0.7232142857142857
Nick Castellanos,0.3269689737470167,0.5985401459854015,0.6730310262529833,0.7375886524822695
Tyler Fitzgerald,0.37662337662337664,0.603448275862069,0.6233766233766234,0.625
Miguel Andujar,0.4416058394160584,0.6694214876033058,0.5583941605839416,0.5751633986928104
Brandon Nimmo,0.4185022026431718,0.6947368421052632,0.5814977973568282,0.7272727272727273
Oswaldo Cabrera,0.44047619047619047,0.7027027027027027,0.5595238095238095,0.8085106382978723
Carlos Santana,0.35365853658536583,0.6379310344827587,0.6463414634146342,0.6415094339622641
Willson Contreras,0.3664772727272727,0.5503875968992248,0.6335227272727273,0.6412556053811659
Ben Rice,0.34864864864864864,0.6666666666666666,0.6513513513513514,0.7468879668049793
Andrew Benintendi,0.29239766081871343,0.62,0.7076023391812866,0.7851239669421488
Mark Vientos,0.38338658146964855,0.6166666666666667,0.6166134185303515,0.8704663212435233
Marcus Semien,0.3012987012987013,0.6724137931034483,0.6987012987012987,0.7695167286245354
Cal Raleigh,0.22871046228710462,0.5531914893617021,0.7712895377128953,0.7066246056782335
Ryan O'Hearn,0.3814713896457766,0.6,0.6185286103542235,0.7268722466960352
Julio Rodriguez,0.45109780439121755,0.5353982300884956,0.5489021956087824,0.6509090909090909
Mike Yastrzemski,0.288,0.6111111111111112,0.712,0.7640449438202247
Freddie Freeman,0.3541666666666667,0.6993464052287581,0.6458333333333334,0.7598566308243727
Riley Greene,0.3564356435643564,0.4722222222222222,0.6435643564356436,0.6423076923076924
Dylan Crews,0.4558139534883721,0.5408163265306123,0.5441860465116279,0.6410256410256411
Anthony Santander,0.3805970149253731,0.7058823529411765,0.6194029850746269,0.6265060240963856
Gavin Lux,0.4264264264264264,0.6901408450704225,0.5735735735735735,0.6910994764397905
Carlos Correa,0.4491725768321513,0.6263157894736842,0.5508274231678487,0.6137339055793991
Lane Thomas,0.3493975903614458,0.5862068965517241,0.6506024096385542,0.5555555555555556
Josh Naylor,0.42887931034482757,0.6934673366834171,0.5711206896551724,0.7094339622641509
Yordan Alvarez,0.2971014492753623,0.7317073170731707,0.7028985507246377,0.6907216494845361
Victor Robles,0.4634146341463415,0.5789473684210527,0.5365853658536586,0.7727272727272727
Luis Arraez,0.38762214983713356,0.8697478991596639,0.6123778501628665,0.8377659574468085
Jose Ramirez,0.29389312977099236,0.7207792207792207,0.7061068702290076,0.6918918918918919
Fernando Tatis Jr.,0.46120689655172414,0.6962616822429907,0.5387931034482759,0.732
Miguel Vargas,0.26108374384236455,0.7264150943396226,0.7389162561576355,0.7666666666666667
Ke'Bryan Hayes,0.45145631067961167,0.6935483870967742,0.5485436893203883,0.668141592920354
Wilmer Flores,0.3023952095808383,0.6732673267326733,0.6976047904191617,0.8197424892703863
Keibert Ruiz,0.4148471615720524,0.7789473684210526,0.5851528384279476,0.7761194029850746
Lars Nootbaar,0.3604060913705584,0.6549295774647887,0.6395939086294417,0.6746031746031746
Jordan Westburg,0.3855421686746988,0.6041666666666666,0.6144578313253012,0.738562091503268
Vladimir Guerrero Jr.,0.4529058116232465,0.588495575221239,0.5470941883767535,0.608058608058608
Lourdes Gurriel Jr.,0.3287037037037037,0.6267605633802817,0.6712962962962963,0.6827586206896552
Pete Alonso,0.346072186836518,0.5705521472392638,0.6539278131634819,0.7435064935064936
Steven Kwan,0.3373913043478261,0.8298969072164949,0.662608695652174,0.8267716535433071
Graham Pauley,0.31496062992125984,0.65,0.6850393700787402,0.632183908045977
Gleyber Torres,0.3401826484018265,0.6442953020134228,0.6598173515981736,0.7785467128027682
Isaac Paredes,0.25496688741721857,0.7532467532467533,0.7450331125827815,0.6977777777777778
Jasson Dominguez,0.4111111111111111,0.6936936936936937,0.5888888888888889,0.610062893081761
Jorge Soler,0.39893617021276595,0.6,0.601063829787234,0.5929203539823009
Kyle Higashioka,0.3103448275862069,0.7083333333333334,0.6896551724137931,0.68125
JJ Bleday,0.3225806451612903,0.6571428571428571,0.6774193548387096,0.6802721088435374
Derek Hill,0.47191011235955055,0.5952380952380952,0.5280898876404494,0.7659574468085106
Juan Soto,0.4125560538116592,0.6195652173913043,0.5874439461883408,0.8015267175572519
Mike Trout,0.2746478873239437,0.6025641025641025,0.7253521126760564,0.6456310679611651
Bo Bichette,0.4166666666666667,0.7170731707317073,0.5833333333333334,0.7665505226480837
Ceddanne Rafaela,0.4078341013824885,0.5875706214689266,0.5921658986175116,0.7315175097276264
Harrison Bader,0.36741214057507987,0.5130434782608696,0.6325878594249201,0.5959595959595959
Masyn Winn,0.361323155216285,0.7183098591549296,0.638676844783715,0.6334661354581673
Connor Wong,0.4296875,0.5454545454545454,0.5703125,0.5342465753424658
Andy Ibanez,0.39072847682119205,0.6271186440677966,0.609271523178808,0.7934782608695652
Michael A. Taylor,0.30526315789473685,0.5862068965517241,0.6947368421052632,0.7196969696969697
Michael Harris II,0.46747967479674796,0.5869565217391305,0.532520325203252,0.5954198473282443
Alan Roden,0.5686274509803921,0.6896551724137931,0.43137254901960786,0.6136363636363636
Jazz Chisholm Jr.,0.34169278996865204,0.5596330275229358,0.658307210031348,0.6761904761904762
Griffin Conine,0.46296296296296297,0.56,0.5370370370370371,0.6896551724137931
Nolan Schanuel,0.37264150943396224,0.740506329113924,0.6273584905660378,0.7819548872180451
Ketel Marte,0.37593984962406013,0.6333333333333333,0.6240601503759399,0.6465863453815262
Francisco Lindor,0.32688588007736946,0.6804733727810651,0.6731141199226306,0.7816091954022989
Wilyer Abreu,0.2826086956521739,0.5897435897435898,0.717391304347826,0.6262626262626263
Heliot Ramos,0.4012875536480687,0.6310160427807486,0.5987124463519313,0.6738351254480287
Taylor Ward,0.2926829268292683,0.6666666666666666,0.7073170731707317,0.7827586206896552
Matt McLain,0.3439306358381503,0.6134453781512605,0.6560693641618497,0.7973568281938326
Otto Lopez,0.43844492440604754,0.6108374384236454,0.5615550755939525,0.6923076923076923
Colton Cowser,0.3939393939393939,0.5897435897435898,0.6060606060606061,0.725
Brandon Lockridge,0.5436893203883495,0.6428571428571429,0.4563106796116505,0.6808510638297872
Gabriel Arias,0.44727272727272727,0.4715447154471545,0.5527272727272727,0.7105263157894737
Jonathan India,0.350253807106599,0.6594202898550725,0.649746192893401,0.59375
Jackson Holliday,0.4327354260089686,0.5803108808290155,0.5672645739910314,0.758893280632411
Luis Torrens,0.47572815533980584,0.6530612244897959,0.5242718446601942,0.7777777777777778
Ozzie Albies,0.3093385214007782,0.6666666666666666,0.6906614785992218,0.7549295774647887
Jose Altuve,0.3628865979381443,0.6193181818181818,0.6371134020618556,0.6343042071197411
Josh Jung,0.36,0.5873015873015873,0.64,0.75
Geraldo Perdomo,0.37169811320754714,0.7157360406091371,0.6283018867924528,0.7117117117117117
Jake Meyers,0.44964028776978415,0.68,0.5503597122302158,0.6928104575163399
Ernie Clement,0.3004032258064516,0.7046979865771812,0.6995967741935484,0.7348703170028819
Lawrence Butler,0.4413265306122449,0.5549132947976878,0.5586734693877551,0.684931506849315
TJ Friedl,0.3763213530655391,0.6179775280898876,0.6236786469344608,0.6711864406779661
Will Wagner,0.45098039215686275,0.6086956521739131,0.5490196078431373,0.6964285714285714
Kyle Isbel,0.5048543689320388,0.7435897435897436,0.49514563106796117,0.5490196078431373
Andrew McCutchen,0.362116991643454,0.6461538461538462,0.637883008356546,0.7205240174672489
Bo Naylor,0.2825278810408922,0.5526315789473685,0.7174721189591078,0.694300518134715
Kevin Newman,0.4673913043478261,0.6511627906976745,0.532608695652174,0.673469387755102
Luisangel Acuna,0.5179856115107914,0.6666666666666666,0.48201438848920863,0.6417910447761194
Jhonkensy Noel,0.422680412371134,0.4878048780487805,0.5773195876288659,0.5178571428571429
Kristian Campbell,0.49044585987261147,0.6233766233766234,0.5095541401273885,0.6625
Jacob Wilson,0.47098214285714285,0.7440758293838863,0.5290178571428571,0.7468354430379747
Ramon Urias,0.3786764705882353,0.5922330097087378,0.6213235294117647,0.7869822485207101
Jordan Walker,0.453781512605042,0.6296296296296297,0.5462184873949579,0.4461538461538462
Jake Burger,0.34210526315789475,0.6373626373626373,0.6578947368421053,0.5885714285714285
Adolis Garcia,0.3386243386243386,0.6953125,0.6613756613756614,0.744
Matt Olson,0.3672566371681416,0.6144578313253012,0.6327433628318584,0.7412587412587412
Joey Bart,0.4322916666666667,0.5301204819277109,0.5677083333333334,0.6422018348623854
George Springer,0.3010204081632653,0.5423728813559322,0.6989795918367347,0.6751824817518248
Cedric Mullins,0.2786377708978328,0.6777777777777778,0.7213622291021672,0.7167381974248928
Alejandro Kirk,0.40302267002518893,0.7,0.5969773299748111,0.6962025316455697
Matt Chapman,0.3885542168674699,0.6976744186046512,0.6114457831325302,0.6157635467980296
Jake Fraley,0.2553191489361702,0.5,0.7446808510638298,0.6095238095238096
Cody Bellinger,0.29504950495049503,0.6577181208053692,0.7049504950495049,0.6966292134831461
Cavan Biggio,0.24,0.6666666666666666,0.76,0.8157894736842105
Ryan Mountcastle,0.4083333333333333,0.5204081632653061,0.5916666666666667,0.6408450704225352
Cam Smith,0.434640522875817,0.49624060150375937,0.565359477124183,0.5838150289017341
Christian Encarnacion-Strand,0.3,0.4,0.7,0.6857142857142857
Ivan Herrera,0.43934426229508194,0.6194029850746269,0.5606557377049181,0.7251461988304093
Jonah Bride,0.40540540540540543,0.6333333333333333,0.5945945945945946,0.8181818181818182
Logan O'Hoppe,0.32867132867132864,0.6382978723404256,0.6713286713286714,0.7864583333333334
Jackson Merrill,0.32840236686390534,0.5225225225225225,0.6715976331360947,0.7400881057268722
Nico Hoerner,0.3992740471869328,0.7272727272727273,0.6007259528130672,0.7009063444108762
Randal Grichuk,0.35514018691588783,0.631578947368421,0.6448598130841121,0.7028985507246377
Javier Baez,0.41479099678456594,0.5968992248062015,0.5852090032154341,0.5769230769230769
Kyle Manzardo,0.25588235294117645,0.5517241379310345,0.7441176470588236,0.8102766798418972
Andres Gimenez,0.4037735849056604,0.5887850467289719,0.5962264150943396,0.7531645569620253
Lenyn Sosa,0.28498727735368956,0.5714285714285714,0.7150127226463104,0.7259786476868327
Alec Burleson,0.3619047619047619,0.6644736842105263,0.638095238095238,0.7425373134328358
Jeremy Pena,0.4552238805970149,0.5245901639344263,0.5447761194029851,0.7168949771689498
Eugenio Suarez,0.2781954887218045,0.5855855855855856,0.7218045112781954,0.7361111111111112
Xander Bogaerts,0.40987654320987654,0.608433734939759,0.5901234567901235,0.6736401673640168
Luis Rengifo,0.44862155388471175,0.6703910614525139,0.5513784461152882,0.6863636363636364
Triston Casas,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.625
Yainer Diaz,0.42316258351893093,0.6210526315789474,0.576837416481069,0.6718146718146718
Josh Bell,0.40897097625329815,0.5806451612903226,0.5910290237467019,0.7232142857142857
Starling Marte,0.42543859649122806,0.5360824742268041,0.5745614035087719,0.6641221374045801
Gabriel Moreno,0.3422222222222222,0.7792207792207793,0.6577777777777778,0.7635135135135135
Joey Ortiz,0.42105263157894735,0.6011904761904762,0.5789473684210527,0.4588744588744589
Trea Turner,0.4256198347107438,0.6116504854368932,0.5743801652892562,0.7302158273381295
Jeimer Candelario,0.4716981132075472,0.52,0.5283018867924528,0.7142857142857143
Gio Urshela,0.4027777777777778,0.603448275862069,0.5972222222222222,0.7558139534883721
Alex Bregman,0.3452054794520548,0.6666666666666666,0.6547945205479452,0.7949790794979079
Sal Frelick,0.4197802197802198,0.7015706806282722,0.5802197802197803,0.6477272727272727
Hunter Renfroe,0.3924050632911392,0.5161290322580645,0.6075949367088608,0.5
Luis Garcia Jr.,0.41019417475728154,0.6449704142011834,0.5898058252427184,0.7283950617283951
Willy Adames,0.24761904761904763,0.41346153846153844,0.7523809523809524,0.7120253164556962
Manny Machado,0.35991820040899797,0.6306818181818182,0.6400817995910021,0.7188498402555911
Tyler Soderstrom,0.4549763033175355,0.6041666666666666,0.5450236966824644,0.717391304347826
Michael Massey,0.26339285714285715,0.711864406779661,0.7366071428571429,0.6545454545454545
Tim Anderson,0.5818181818181818,0.5,0.41818181818181815,0.8260869565217391
Byron Buxton,0.3130434782608696,0.5,0.6869565217391305,0.7046413502109705
Adley Rutschman,0.39325842696629215,0.7047619047619048,0.6067415730337079,0.8209876543209876
Xavier Edwards,0.44863731656184486,0.7383177570093458,0.5513626834381551,0.7338403041825095
Elly De La Cruz,0.4697986577181208,0.6095238095238096,0.5302013422818792,0.6708860759493671
Luis Robert Jr.,0.33455882352941174,0.5384615384615384,0.6654411764705882,0.574585635359116
Jarren Duran,0.3876651982378855,0.625,0.6123348017621145,0.6258992805755396
Matt Wallner,0.29596412556053814,0.5606060606060606,0.7040358744394619,0.554140127388535
CJ Abrams,0.3638344226579521,0.5988023952095808,0.6361655773420479,0.6198630136986302
Vinnie Pasquantino,0.3532818532818533,0.6612021857923497,0.6467181467181468,0.7014925373134329
Orlando Arcia,0.47096774193548385,0.6027397260273972,0.5290322580645161,0.7195121951219512
Nick Fortes,0.4482758620689655,0.6923076923076923,0.5517241379310345,0.5625
Brayan Rocchio,0.37681159420289856,0.6634615384615384,0.6231884057971014,0.7383720930232558
Elias Diaz,0.34594594594594597,0.734375,0.654054054054054,0.5702479338842975
